date,confirmed_cumulative_cases,total_cumulative_cases,confirmed_cumulative_deaths,total_cumulative_deaths,cumulative_recoveries,cumulative_vaccinations,cumulative_vaccinations_beni,cumulative_vaccinations_katwa,cumulative_vaccinations_mabalako,cumulative_vaccinations_butembo,source_url
2018-08-06,16,43,not found,not found 2,not found,not found,not found,not found,not found,not found,https://mailchi.mp/70213f4262fb/ebola_kivu_6aout
2018-08-07,16,43,not found,not found 2,not found,not found,not found,not found,not found,not found,https://mailchi.mp/526091c2d161/ebola_kivu_7aout
2018-08-08,17,44,not found,not found 2,not found,not found,not found,not found,not found,not found,https://mailchi.mp/80a23d454958/ebola_kivu_8aout
2018-08-09,17,44,not found,not found 2,not found,not found,not found,not found,not found,not found,https://mailchi.mp/4cc2513a9f7d/ebola_kivu_9aout
2018-08-10,21,48,not found,not found 2,not found,not found,not found,not found,not found,not found,https://mailchi.mp/68ac0a236b26/ebola_kivu_10aout
2018-08-11,22,49,not found,not found 2,not found,not found,not found,not found,not found,not found,https://mailchi.mp/17136ac871cd/ebola_kivu_11aout
2018-08-12,25,52,not found,not found 2,not found,not found,not found,not found,not found,not found,https://mailchi.mp/5740eb659e90/ebola_kivu_12aout
2018-08-13,30,57,not found,not found 2,not found,not found,not found,not found,not found,not found,https://mailchi.mp/de936e52fb17/ebola_kivu_13aout
2018-08-14,39,66,not found,not found 2,not found,not found,not found,not found,not found,not found,https://mailchi.mp/37b7545e3544/ebola_kivu_14aout
2018-08-15,46,73,not found,not found 2,not found,not found,not found,not found,not found,not found,https://mailchi.mp/96767bcd0575/ebola_kivu_15aout
2018-08-16,51,78,not found,not found 2,not found,316,not found,not found,176,not found,https://mailchi.mp/2d5b7a2d510a/ebola_kivu_16aout
2018-08-17,60,87,not found,not found 2,not found,not found,not found,not found,not found,not found,https://mailchi.mp/74a121fdd538/ebola_kivu_17aout
2018-08-18,63,90,not found,not found 2,not found,not found,not found,not found,not found,not found,https://mailchi.mp/758eb254afd1/ebola_kivu_18aout
2018-08-19,64,91,not found,not found 2,not found,873,not found,not found,467,not found,https://mailchi.mp/231176da338d/ebola_kivu_19aout
2018-08-20,69,96,not found,not found 2,not found,"1,273",not found,not found,697,not found,https://mailchi.mp/bad94a83ea28/ebola_kivu_20aout
2018-08-21,75,102,not found,not found 2,not found,"1,693",not found,not found,903,not found,https://mailchi.mp/58d0398606a4/ebola_kivu_21aout
2018-08-22,76,103,not found,not found 2,not found,"2,179",not found,not found,"1,178",not found,https://mailchi.mp/9abcbef79b2c/ebola_kivu_22aout
2018-08-23,76,103,not found,not found 2,not found,"2,613",not found,not found,"1,311",not found,https://mailchi.mp/ad8db275a17f/ebola_kivu_23aout
2018-08-24,77,105,not found,not found 2,not found,"2,957",not found,not found,"1,422",not found,https://mailchi.mp/970b172dfebc/ebola_kivu_24aout
2018-08-25,79,107,not found,not found 2,not found,"3,481",not found,not found,"1,712",not found,https://mailchi.mp/c9c7043a5a23/ebola_kivu_25aout
2018-08-26,83,111,not found,not found 2,not found,"3,591",not found,not found,"1,822",not found,https://mailchi.mp/9feedcd3907b/ebola_kivu_26aout
2018-08-27,83,111,not found,not found 2,not found,"4,130",not found,not found,"1,992",not found,https://mailchi.mp/4b1528882fd6/ebola_kivu_27aout
2018-08-28,84,112,not found,not found 2,not found,"4,511",not found,not found,"2,278",not found,https://mailchi.mp/49dc88255f69/ebola_kivu_28aout
2018-08-29,85,115,not found,not found 2,not found,"4,645",not found,not found,"2,372",not found,https://mailchi.mp/aa63872541fd/ebola_kivu_29aout
