date,cumulative_cases,incident_cases,cumulative_deaths,source_url
2019-11-22,"1,644",202,20,http://web.archive.org/web/20201210232948/https://twitter.com/samoagovt/status/1197790948178051074
2019-11-23,"1,797",153,22,http://web.archive.org/web/20201210233007/https://twitter.com/samoagovt/status/1198133748312629248
2019-11-24,"2,194",144,25,http://web.archive.org/web/20191127142955/https://twitter.com/samoagovt/status/1198810318136176641
2019-11-25,"2,437",243,32,http://web.archive.org/web/20201210233135/https://twitter.com/samoagovt/status/1199106622083063808
2019-11-26,"2,686",249,33,http://web.archive.org/web/20201210233155/https://twitter.com/samoagovt/status/1199490365130076160
2019-11-27,"2,936",250,39,http://web.archive.org/web/20201210233211/https://twitter.com/samoagovt/status/1199844462479822848
2019-11-28,"3,149",213,42,http://web.archive.org/web/20201210233315/https://twitter.com/samoagovt/status/1200179578745917442
2019-11-29,"3,357",208,44,http://web.archive.org/web/20201210235729/https://twitter.com/samoagovt/status/1200591914031927296
2019-11-30,"3,530",173,48,http://web.archive.org/web/20201210233407/https://twitter.com/samoagovt/status/1200923810439946240
2019-12-01,"3,728",198,53,http://web.archive.org/web/20201210233520/https://twitter.com/samoagovt/status/1201285534368190464
2019-12-02,"3,881",153,55,http://web.archive.org/web/20201210233617/https://twitter.com/samoagovt/status/1201637336515112960
2019-12-03,"4,052",171,60,http://web.archive.org/web/20201210233709/https://twitter.com/samoagovt/status/1201979349374619648
2019-12-04,"4,217",165,62,http://web.archive.org/web/20201211002623/https://twitter.com/samoagovt/status/1202335691310391296?s=22
2019-12-05,"4,357",140,63,http://web.archive.org/web/20201210233943/https://twitter.com/samoagovt/status/1202707973048418304
2019-12-06,"4,460",103,65,http://web.archive.org/web/20201210234054/https://twitter.com/samoagovt/status/1203077866646167552
2019-12-07,"4,581",121,68,http://web.archive.org/web/20201210234205/https://twitter.com/samoagovt/status/1203604804997566464
2019-12-08,"4,693",112,70,http://web.archive.org/web/20201210234328/https://twitter.com/samoagovt/status/1203793768182235136
